scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Pavo cristatus,Indian Peafowl,IP,INPE,Galliformes,eBird_code NA,OC,GRD,Phasianidae,AVIBASE-A8C34DC9,5,2,3,0,4,49.1,22.8,13,12.2,130,445.2,124.4,311.1,28.7,403.2,4154.8,1,Omnivore,Omnivore,Terrestrial
Pitta brachyura,Indian Pitta,IPT,INPI,Passeriformes,,RF,GRD,Pittidae,AVIBASE-DE63114F,5,2,3,0,4,22.8,13.9,6.5,7.5,36.5,104.8,23.2,81.5,22.1,39.4,55.5,3,Carnivore,Invertivore,Terrestrial
Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISB,ISBA,Passeriformes,,RF,UND,Timaliidae,AVIBASE-212FC793,5,2,3,0,4,30.3,21.4,4,6.4,32.3,94.9,7.4,87,7.9,99.6,43,1,Carnivore,Invertivore,Terrestrial
Otus bakkamoena,Indian Scops-Owl,ISO,ISOW,Strigiformes,,RF,MID,Strigidae,AVIBASE-489F3A6A,5,1,1,3,4,20.5,11.6,6.2,10.9,30.5,146.2,40.2,106.5,27.4,75,138.5,1,Carnivore,Invertivore,Insessorial
Zosterops palpebrosus,Indian White-eye,OWE,IWEY,Passeriformes,,RF,MID,Zosteropidae,AVIBASE-0BD6646B,16,3,13,0,13,12.7,6.9,2.9,2.8,14.9,51.8,10.7,40.9,20.7,35.3,8.6,1,Omnivore,Omnivore,Insessorial
Machlolophus aplonotus,Indian Yellow Tit,IYT,IYTI,Passeriformes,,RF,CAN,Paridae,AVIBASE-F45DB0EB,4,2,2,0,4,11.3,8.3,3.7,4.5,17.2,71.2,12.9,58.3,18.1,56.5,14.8,2,Omnivore,Invertivore,Insessorial
Argya striata,Jungle Babbler,JB,JUBA,Passeriformes,,OC,GRD,Leiotrichidae,AVIBASE-5713B725,5,2,3,0,4,24.3,14.8,4.8,7.5,32.4,99,9.6,91.2,9.5,101.4,66,1,Omnivore,Omnivore,Generalist
Acridotheres fuscus,Jungle Myna,JM,JUMY,Passeriformes,,OC,GRD,Sturnidae,AVIBASE-8724C64A,5,1,2,2,4,27.2,16.1,6.6,7.3,36.5,123.6,30.7,93.6,24.7,74.9,82.8,2,Omnivore,Omnivore,Insessorial
Caprimulgus indicus,Jungle Nightjar,JN,JUNI,Caprimulgiformes,,OC,GRD,Caprimulgidae,AVIBASE-5FF16559,4,2,2,0,4,21,7.2,4.7,2.9,15.8,181.8,89.7,92,49.4,116.2,91.6,1,Carnivore,Invertivore,Generalist
Glaucidium radiatum,Jungle Owlet,JUOW,JUOW,Strigiformes,,RF,MID,Strigidae,AVIBASE-1986F1AB,5,2,3,0,4,16.9,9.9,7,10.5,24.5,123.2,33.2,90.5,26.9,65.4,101,1,Carnivore,Invertivore,Insessorial
