site_id,common_name,density
UPMAP4B,Large-billed Leaf Warbler,0.141849732
UPMAP5B,Large-billed Leaf Warbler,0.070924866
UPMAP6B,Large-billed Leaf Warbler,0.106387299
VAR210R,Large-billed Leaf Warbler,0.088656083
VAR310R,Large-billed Leaf Warbler,0.017731217
VAR310U,Large-billed Leaf Warbler,0.035462433
VAR410R,Large-billed Leaf Warbler,0.05319365
VAR410U,Large-billed Leaf Warbler,0.070924866
HP36P1B,Asian Fairy-bluebird,0.050890403
HP36P3B,Asian Fairy-bluebird,0
HP36P4B,Asian Fairy-bluebird,0.050890403
HP37P1B,Asian Fairy-bluebird,0.050890403
HP37P2B,Asian Fairy-bluebird,0.025445201
HP37P4B,Asian Fairy-bluebird,0.050890403
HP4008R,Asian Fairy-bluebird,0.101780806
HP4008U,Asian Fairy-bluebird,0.101780806
INBS04R,Asian Fairy-bluebird,0
INBS04U,Asian Fairy-bluebird,0.025445201
INME03R,Asian Fairy-bluebird,0
INME03U,Asian Fairy-bluebird,0
INOA03R,Asian Fairy-bluebird,0
IPTO04R,Asian Fairy-bluebird,0
IPTO04U,Asian Fairy-bluebird,0.050890403
IPTO06R,Asian Fairy-bluebird,0.101780806
IPTO06U,Asian Fairy-bluebird,0.101780806
OLCAP2B,Asian Fairy-bluebird,0.17811641
OLCAP3B,Asian Fairy-bluebird,0.101780806
OLV110R,Asian Fairy-bluebird,0
OLV110U,Asian Fairy-bluebird,0
OLV208R,Asian Fairy-bluebird,0.152671208
OLV208U,Asian Fairy-bluebird,0.050890403
PANMP1B,Asian Fairy-bluebird,0.127226007
PANMP2B,Asian Fairy-bluebird,0.127226007
PANMP3B,Asian Fairy-bluebird,0.050890403
SEL107R,Asian Fairy-bluebird,0
SEL107U,Asian Fairy-bluebird,0
SEL207R,Asian Fairy-bluebird,0.025445201
SEL207U,Asian Fairy-bluebird,0
STIN02R,Asian Fairy-bluebird,0
STIN02U,Asian Fairy-bluebird,0.025445201
THEN10U,Asian Fairy-bluebird,0.152671208
UPMAP1B,Asian Fairy-bluebird,0.101780806
UPMAP3B,Asian Fairy-bluebird,0.254452014
UPMAP4B,Asian Fairy-bluebird,0.152671208
UPMAP5B,Asian Fairy-bluebird,0.152671208
UPMAP6B,Asian Fairy-bluebird,0.101780806
VAR210R,Asian Fairy-bluebird,0.050890403
VAR310R,Asian Fairy-bluebird,0.025445201
VAR310U,Asian Fairy-bluebird,0.127226007
VAR410R,Asian Fairy-bluebird,0.025445201
VAR410U,Asian Fairy-bluebird,0.050890403
HP36P1B,Indian Paradise-Flycatcher,0.031284869
HP36P3B,Indian Paradise-Flycatcher,0.062569738
HP36P4B,Indian Paradise-Flycatcher,0.062569738
HP37P1B,Indian Paradise-Flycatcher,0.062569738
HP37P2B,Indian Paradise-Flycatcher,0.031284869
HP37P4B,Indian Paradise-Flycatcher,0.093854607
HP4008R,Indian Paradise-Flycatcher,0.031284869
HP4008U,Indian Paradise-Flycatcher,0
INBS04R,Indian Paradise-Flycatcher,0.062569738
INBS04U,Indian Paradise-Flycatcher,0
INME03R,Indian Paradise-Flycatcher,0.031284869
INME03U,Indian Paradise-Flycatcher,0.031284869
INOA03R,Indian Paradise-Flycatcher,0.093854607
IPTO04R,Indian Paradise-Flycatcher,0
IPTO04U,Indian Paradise-Flycatcher,0
IPTO06R,Indian Paradise-Flycatcher,0.031284869
IPTO06U,Indian Paradise-Flycatcher,0.031284869
OLCAP2B,Indian Paradise-Flycatcher,0
OLCAP3B,Indian Paradise-Flycatcher,0.125139476
OLV110R,Indian Paradise-Flycatcher,0
OLV110U,Indian Paradise-Flycatcher,0
OLV208R,Indian Paradise-Flycatcher,0
OLV208U,Indian Paradise-Flycatcher,0.031284869
PANMP1B,Indian Paradise-Flycatcher,0
PANMP2B,Indian Paradise-Flycatcher,0.031284869
PANMP3B,Indian Paradise-Flycatcher,0.031284869
SEL107R,Indian Paradise-Flycatcher,0
SEL107U,Indian Paradise-Flycatcher,0.031284869
SEL207R,Indian Paradise-Flycatcher,0.031284869
SEL207U,Indian Paradise-Flycatcher,0
STIN02R,Indian Paradise-Flycatcher,0.031284869
STIN02U,Indian Paradise-Flycatcher,0
THEN10U,Indian Paradise-Flycatcher,0
